,Credit,Debit,Transaction Type,Reference Type,Product,Balance,Time Stamp
,,0.3,Fee,Withdraw,ADA,2.98e-09,2019/11/19 13:43:08.145
,,12194.35725262,Other,Withdraw,ADA,0.30000000298,2019/11/19 13:42:55.873
,6068.14771351,,Trade,Trade,ADA,12194.65725262300,2019/11/18 12:24:47.891
,,12.13629542702,Fee,Trade,ADA,6126.50953911298,2019/11/18 12:24:47.890
,,360.10815791053700,Trade,Trade,CAD,0.00151270282256,2019/11/18 12:24:47.890
,6150.94773,,Trade,Trade,ADA,6138.64583454,2019/11/18 12:24:44.270
,,12.30189546,Fee,Trade,ADA,-12.30189546,2019/11/18 12:24:44.270
,,365.02184208912,Trade,Trade,CAD,360.10967061336,2019/11/18 12:24:44.270
,725,,Other,Deposit,CAD,725.13151270248,2019/11/17 15:31:55.358
,,0.0005,Fee,Withdraw,BTC,7.84e-09,2019/10/13 10:34:46.915
,,0.00825353,Other,Withdraw,BTC,0.00050000784,2019/10/13 10:34:46.910
,,0.00000634216,Fee,Trade,BTC,0.00875353784,2019/10/13 00:35:02.055
,,35.43775129752,Trade,Trade,CAD,0.13151270248,2019/10/13 00:35:02.052
,0.00317108,,Trade,Trade,BTC,0.00875988,2019/10/13 00:35:02.051
,,0.0000112,Fee,Trade,BTC,0.0055888,2019/10/13 00:35:02.046
,,61.930736,Trade,Trade,CAD,35.569264,2019/10/13 00:35:02.041
,0.0056,,Trade,Trade,BTC,0.0056,2019/10/13 00:35:02.041
,97.5,,Other,Deposit,CAD,97.5,2019/10/06 09:01:55.011
Total CAD,$822.50,$822.50,Current Balance,$0.00,,,
Total ADA,12219.09544351,12219.095443507,Current Balance,2.98e-09,,,
Total BTC,0.00877108,0.00877107216,Current Balance,7.84e-09,,,